# total_ram_gb=14.6
t,ram_gb,vram_gb
0.1,2.46,0.39
2.0,2.48,0.39
3.9,2.53,0.39
5.7,2.51,0.39
7.1,2.53,0.39
8.7,2.54,0.39
10.2,2.55,0.39
12.2,2.58,0.39
14.0,2.58,0.39
15.8,2.64,0.39
17.8,2.64,0.39
19.6,2.65,0.39
21.5,2.67,0.39
23.4,2.68,0.39
25.1,2.68,0.39
26.9,2.69,0.39
28.5,2.7,0.39
30.3,2.7,0.39
32.1,2.7,0.39
33.9,2.73,0.39
35.5,2.73,0.39
37.1,2.73,0.39
39.1,2.76,0.39
41.0,2.78,0.39
42.6,2.78,0.39
44.4,2.79,0.39
46.3,2.85,0.39
48.0,2.87,0.39
49.9,2.88,0.39
51.8,2.89,0.39
53.7,2.89,0.39
55.3,2.9,0.39
57.3,2.77,0.39
58.7,2.79,0.39
60.5,2.79,0.39
62.4,2.79,0.39
64.2,2.8,0.39
66.2,2.8,0.39
68.1,2.81,0.39
70.0,2.83,0.39
71.9,2.86,0.39
73.9,2.89,0.39
75.7,2.9,0.39
77.8,2.93,0.39
79.9,2.95,0.39
81.8,2.96,0.39
83.9,2.98,0.39
85.8,2.99,0.39
87.8,3.0,0.39
89.6,3.01,0.39
91.4,3.01,0.39
93.3,3.02,0.39
95.2,3.04,0.39
97.0,3.06,0.39
99.0,3.07,0.39
100.9,3.09,0.39
102.7,3.1,0.39
104.4,3.1,0.39
106.4,3.13,0.4
108.2,3.18,0.4
110.0,3.22,0.59
111.9,3.26,0.61
113.7,3.3,0.64
115.7,3.34,0.64
117.5,3.39,0.84
119.3,3.4,1.71
121.1,3.45,1.98
123.0,3.5,1.98
124.5,3.47,1.98
126.1,3.54,1.98
127.6,3.55,1.1
129.2,3.52,1.23
130.7,3.52,0.99
132.3,3.52,1.18
133.9,3.52,1.14
135.4,3.52,0.9
137.0,3.52,0.97
138.5,3.52,0.93
140.1,3.52,0.83
141.7,3.52,0.84
143.3,3.52,0.74
144.8,3.52,0.71
146.4,3.52,0.74
148.0,3.52,0.77
149.6,3.58,0.68
151.5,3.38,0.68
153.1,3.37,0.68
154.6,3.37,0.68
156.1,2.82,0.39
158.2,2.71,0.39
159.8,2.77,0.39
161.3,2.79,0.39
162.8,2.81,0.39
164.4,2.81,0.39
165.9,2.82,0.39
167.4,2.84,0.39
169.0,2.86,0.39
170.5,2.89,0.39
172.1,2.94,0.39
173.6,2.97,0.39
175.1,3.01,0.39
176.7,2.82,0.39
178.3,2.74,0.39
179.8,2.68,0.39
181.3,2.77,0.39
182.9,2.79,0.39
184.4,2.82,0.39
185.9,2.86,0.39
187.4,2.87,0.39
188.9,2.92,0.39
190.9,2.98,0.39
192.6,3.0,0.39
194.5,3.0,0.39
196.2,3.0,0.39
198.2,3.02,0.39
199.8,3.01,0.39
201.5,3.01,0.39
203.2,3.01,0.39
205.0,3.01,0.39
206.7,3.01,0.39
208.3,3.01,0.39
210.0,3.01,0.39
211.6,3.01,0.39
213.2,3.0,0.39
214.9,3.0,0.39
216.5,3.0,0.39
218.1,3.0,0.39
219.8,3.01,0.39
221.4,3.01,0.39
222.9,3.01,0.39
224.5,3.01,0.39
226.0,3.01,0.39
227.6,3.0,0.39
229.2,3.0,0.39
230.7,3.0,0.39
232.3,3.0,0.39
234.0,3.0,0.39
235.6,3.0,0.39
237.3,3.0,0.39
239.0,3.0,0.39
240.6,3.01,0.39
242.2,3.0,0.39
243.9,3.0,0.39
245.5,3.0,0.39
247.1,3.0,0.39
248.6,3.0,0.39
250.2,3.0,0.39
251.8,3.0,0.39
253.3,3.0,0.39
254.9,3.0,0.39
256.5,3.0,0.39
258.1,3.0,0.39
259.7,3.01,0.39
261.3,3.01,0.39
262.9,3.01,0.39
264.6,3.01,0.39
266.2,3.0,0.39
267.8,3.0,0.39
269.3,3.0,0.39
271.0,3.0,0.39
272.6,3.0,0.39
274.3,3.0,0.39
275.9,3.0,0.39
277.6,3.0,0.39
279.2,3.0,0.39
280.6,3.0,0.39
282.1,3.0,0.39
283.6,3.0,0.39
285.2,3.0,0.39
286.8,3.0,0.39
288.4,3.0,0.39
289.9,3.0,0.39
291.5,3.01,0.39
293.2,2.93,0.39
294.6,3.0,0.39
296.4,2.96,0.39
297.9,2.94,0.39
