# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,3.76,
1.1,3.77,
2.1,3.77,
3.2,3.75,
4.2,3.73,
5.2,3.74,
6.2,3.74,
7.2,3.72,
8.3,3.74,
9.3,3.71,
10.3,3.73,
11.4,3.74,
12.4,3.72,
13.5,3.71,
14.6,3.7,
15.6,3.65,
16.7,3.52,
17.7,3.6,
18.7,3.66,
19.8,3.65,
20.8,3.68,
21.8,3.67,
22.8,3.67,
23.9,3.68,
24.9,3.55,
26.0,3.59,
27.1,3.6,
28.1,3.6,
29.1,3.57,
30.1,3.62,
31.2,3.67,
32.2,3.66,
33.3,3.55,
34.4,3.66,
35.4,3.71,
36.4,3.71,
37.4,3.7,
38.5,3.58,
39.6,3.6,
40.6,3.63,
41.6,3.62,
42.6,3.65,
43.7,3.67,
44.8,3.69,
45.8,3.71,
46.8,3.71,
47.9,3.72,
48.9,3.71,
50.0,3.72,
51.0,3.72,
52.1,3.72,
53.1,3.71,
54.2,3.71,
55.2,3.68,
