# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,3.7,
1.1,3.64,
2.2,3.52,
3.4,3.66,
4.5,3.66,
5.6,3.67,
6.6,3.68,
7.7,3.67,
8.7,3.7,
9.9,3.73,
10.9,3.71,
12.0,3.71,
13.0,3.71,
14.0,3.72,
15.1,3.72,
16.2,3.71,
17.2,3.69,
18.3,3.55,
19.4,3.59,
20.4,3.64,
21.5,3.65,
22.5,3.54,
23.6,3.58,
24.7,3.6,
25.7,3.65,
26.9,3.68,
28.0,3.68,
29.1,3.58,
30.2,3.62,
31.3,3.62,
32.5,3.63,
33.6,3.58,
34.7,3.61,
35.8,3.56,
37.0,3.6,
38.1,3.62,
39.1,3.58,
40.1,3.65,
41.1,3.67,
42.3,3.7,
43.3,3.7,
44.5,3.58,
45.6,3.63,
46.8,3.67,
47.8,3.66,
48.9,3.68,
50.0,3.61,
51.1,3.65,
52.2,3.64,
53.3,3.68,
54.5,3.69,
55.6,3.67,
56.7,3.7,
57.8,3.68,
58.9,3.67,
59.9,3.68,
60.9,3.67,
61.9,3.63,
62.9,3.7,
64.1,3.71,
