# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,3.64,
1.1,3.52,
2.2,3.53,
3.3,3.6,
4.4,3.61,
5.5,3.6,
6.5,3.62,
7.6,3.66,
8.6,3.68,
9.8,3.71,
10.9,3.71,
12.0,3.71,
13.1,3.67,
14.2,3.67,
15.3,3.7,
16.4,3.7,
17.4,3.65,
18.4,3.35,
19.5,3.45,
20.5,3.47,
21.6,3.49,
22.6,3.51,
23.6,3.53,
24.6,3.69,
25.6,3.63,
26.7,3.33,
27.8,3.4,
28.8,3.51,
29.9,3.64,
31.0,3.59,
32.0,3.66,
33.2,3.68,
34.3,3.65,
35.4,3.63,
36.5,3.65,
37.6,3.68,
38.8,3.68,
39.8,3.69,
40.9,3.69,
42.1,3.69,
43.2,3.69,
44.3,3.7,
45.4,3.67,
46.5,3.69,
47.5,3.69,
48.5,3.61,
49.7,3.68,
50.7,3.69,
51.7,3.7,
52.8,3.61,
53.9,3.64,
55.0,3.68,
56.1,3.7,
57.1,3.69,
58.1,3.69,
59.1,3.69,
60.2,3.69,
61.4,3.68,
62.5,3.68,
63.5,3.68,
64.6,3.67,
65.7,3.66,
66.7,3.64,
