# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,3.22,
1.0,3.13,
2.0,3.2,
3.2,3.21,
4.2,3.22,
5.3,3.21,
6.5,3.21,
7.6,3.23,
8.6,3.24,
9.7,3.25,
10.8,3.28,
12.0,3.32,
13.1,3.25,
14.2,3.29,
15.3,3.32,
16.3,3.33,
17.4,3.39,
18.4,3.43,
19.6,3.45,
20.7,3.37,
21.7,3.4,
22.8,3.41,
23.8,3.42,
24.9,3.48,
26.1,3.43,
27.2,3.51,
28.3,3.55,
29.5,3.57,
30.5,3.59,
31.5,3.62,
32.6,3.62,
33.6,3.62,
34.6,3.62,
35.6,3.62,
36.6,3.63,
37.7,3.59,
38.7,3.5,
39.8,3.53,
40.9,3.55,
42.0,3.56,
43.1,3.46,
44.2,3.45,
45.4,3.47,
46.4,3.48,
47.5,3.48,
48.5,3.48,
49.5,3.49,
50.6,3.51,
51.7,3.52,
52.7,3.53,
53.8,3.54,
54.9,3.58,
