# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,3.55,
1.0,3.45,
2.1,3.53,
3.1,3.53,
4.2,3.53,
5.4,3.53,
6.4,3.57,
7.5,3.58,
8.7,3.53,
9.7,3.57,
10.7,3.58,
11.7,3.6,
12.9,3.61,
14.0,3.61,
15.0,3.6,
16.1,3.59,
17.2,3.6,
18.4,3.61,
19.5,3.61,
20.6,3.61,
21.7,3.61,
22.8,3.61,
23.9,3.6,
25.0,3.61,
26.2,3.61,
27.3,3.61,
28.4,3.62,
29.5,3.57,
30.6,3.58,
31.7,3.48,
32.7,3.55,
33.9,3.57,
34.9,3.56,
36.0,3.56,
37.1,3.57,
38.3,3.49,
39.3,3.54,
40.4,3.59,
41.5,3.59,
42.5,3.59,
43.5,3.57,
44.6,3.57,
45.8,3.56,
46.9,3.56,
48.0,3.56,
49.1,3.6,
