# cpu_count=4,total_ram_gb=16.0
t,cpu_cores,ram_gb,gpu_pct
0.1,2.0,4.3,
1.3,3.69,4.07,
2.4,3.57,4.25,
3.5,1.33,4.33,
4.6,2.72,4.33,
5.7,2.5,4.33,
6.8,4.0,4.37,
7.9,3.72,4.4,
9.0,4.0,4.5,
10.2,3.67,4.36,
11.3,3.72,4.42,
12.4,4.0,4.41,
13.5,3.57,4.3,
14.6,4.0,4.3,
15.7,4.0,4.3,
16.9,4.0,4.29,
18.0,4.0,4.31,
19.2,4.0,4.29,
20.3,4.0,4.3,
21.4,4.0,4.3,
22.8,3.95,4.3,
23.9,4.0,4.3,
25.1,4.0,4.29,
26.2,4.0,4.3,
27.3,3.72,4.3,
28.4,3.86,4.3,
29.5,3.86,4.29,
30.6,3.86,4.3,
31.8,3.14,4.3,
33.1,4.0,4.3,
34.2,2.78,4.36,
35.4,4.0,4.38,
36.5,3.89,4.36,
