# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.4,
1.0,4.2,
2.0,4.32,
3.0,4.36,
4.0,4.36,
5.0,4.35,
6.0,4.39,
7.0,4.46,
8.0,4.36,
9.0,4.45,
10.0,4.53,
11.0,4.55,
12.0,4.57,
13.0,4.59,
14.0,4.54,
15.0,4.54,
16.0,4.5,
17.0,4.48,
18.0,4.48,
19.0,4.47,
20.0,4.47,
21.0,4.47,
22.0,4.47,
23.0,4.47,
24.0,4.47,
25.0,4.47,
26.0,4.47,
27.0,4.47,
28.0,4.47,
29.0,4.47,
30.0,4.47,
31.0,4.47,
32.0,4.48,
33.0,4.49,
34.0,4.5,
35.0,4.5,
36.0,4.5,
37.1,4.5,
38.1,4.48,
39.1,4.49,
40.1,4.52,
41.1,4.53,
42.1,4.53,
43.1,4.53,
44.1,4.53,
45.1,4.54,
46.1,4.53,
47.1,4.54,
48.1,4.54,
49.1,4.54,
50.1,4.54,
51.1,4.54,
52.1,4.54,
53.1,4.54,
54.1,4.54,
55.1,4.55,
56.1,4.55,
57.1,4.55,
58.1,4.55,
59.1,4.55,
60.1,4.56,
61.1,4.57,
62.1,4.57,
63.1,4.57,
64.1,4.57,
65.1,4.56,
66.1,4.56,
67.1,4.56,
68.1,4.56,
69.1,4.56,
70.1,4.56,
71.1,4.56,
72.1,4.56,
73.1,4.56,
74.1,4.56,
75.1,4.56,
76.1,4.56,
77.1,4.56,
78.1,4.56,
79.1,4.56,
80.1,4.56,
81.1,4.56,
82.1,4.56,
83.1,4.56,
84.1,4.56,
85.1,4.56,
86.1,4.56,
87.1,4.56,
88.1,4.56,
89.1,4.56,
90.1,4.56,
91.1,4.56,
92.1,4.56,
93.1,4.56,
94.1,4.56,
95.1,4.56,
96.1,4.56,
97.1,4.52,
98.1,4.49,
99.1,4.49,
100.1,4.49,
101.1,4.49,
102.1,4.51,
103.1,4.52,
104.1,4.52,
105.1,4.52,
106.1,4.52,
107.1,4.5,
108.1,4.5,
109.1,4.51,
110.1,4.52,
111.1,4.53,
112.1,4.54,
113.1,4.54,
114.1,4.54,
115.1,4.54,
116.1,4.54,
117.1,4.54,
118.1,4.54,
119.1,4.54,
120.1,4.54,
121.1,4.54,
122.1,4.54,
123.1,4.54,
124.1,4.54,
125.1,4.55,
126.1,4.54,
127.1,4.54,
128.1,4.54,
129.1,4.54,
130.1,4.54,
131.1,4.54,
132.1,4.56,
133.1,4.57,
134.1,4.7,
135.1,4.81,
136.1,4.81,
137.1,4.64,
138.1,4.65,
139.1,4.66,
140.1,4.66,
141.1,4.65,
142.1,4.43,
143.1,4.45,
144.1,4.44,
145.1,4.43,
146.1,4.44,
147.1,4.43,
148.1,4.45,
149.1,4.44,
150.1,4.45,
151.1,4.44,
152.1,4.17,
153.1,4.23,
154.1,4.24,
155.1,4.22,
156.2,4.33,
157.2,4.33,
158.2,4.33,
159.2,4.33,
160.2,4.31,
161.2,4.31,
162.2,4.31,
163.2,4.31,
164.2,4.3,
165.2,4.24,
166.2,4.34,
