# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.33,
1.0,4.13,
2.0,4.31,
3.0,4.28,
4.0,4.38,
5.0,4.4,
6.0,4.39,
7.0,4.4,
8.0,4.43,
9.0,4.5,
10.0,4.48,
11.0,4.4,
12.0,4.44,
13.0,4.5,
14.0,4.49,
15.0,4.51,
16.0,4.49,
17.0,4.48,
18.0,4.49,
19.0,4.49,
20.0,4.49,
21.0,4.49,
22.1,4.49,
23.1,4.5,
24.2,4.4,
25.2,4.44,
26.2,4.48,
27.2,4.49,
28.2,4.38,
29.2,4.4,
30.2,4.42,
31.2,4.42,
32.8,4.41,
33.8,4.42,
34.8,4.41,
35.9,4.41,
36.9,4.41,
37.9,4.41,
38.9,4.41,
40.0,4.32,
41.0,4.31,
42.0,4.31,
43.0,4.31,
44.0,4.33,
45.1,4.39,
46.1,4.34,
47.2,4.36,
48.4,4.36,
49.9,4.35,
50.9,4.34,
52.0,4.33,
53.0,4.35,
