# total_ram_gb=30.0
t,ram_gb,vram_gb
0.1,21.44,0.39
1.3,21.43,0.39
2.6,21.51,0.39
3.8,21.54,0.39
5.1,21.56,0.39
6.4,21.59,0.39
7.6,21.73,0.39
8.9,21.82,0.39
10.1,21.83,0.39
11.3,21.85,0.39
12.5,21.87,0.39
13.7,21.9,0.39
14.9,21.92,0.39
16.1,21.94,0.39
17.3,21.98,0.39
18.6,22.0,0.39
19.9,22.03,0.39
21.1,22.06,0.39
22.4,22.07,0.39
23.6,22.14,0.39
24.9,22.15,0.39
26.1,22.16,0.39
27.3,22.18,0.39
28.6,22.19,0.39
29.8,22.2,0.39
31.0,22.18,0.39
32.3,22.11,0.39
33.5,22.3,0.39
34.7,22.42,0.39
35.9,22.48,0.39
37.1,22.51,0.39
38.4,22.53,0.39
39.6,22.54,0.39
40.9,22.57,0.39
42.1,22.6,0.39
43.3,22.62,0.39
44.5,22.7,0.4
45.8,22.78,0.62
47.1,22.93,1.43
48.4,23.18,1.89
49.7,23.19,1.08
50.9,23.19,0.9
52.2,23.19,1.27
53.4,23.18,1.12
54.7,23.19,0.98
55.9,23.21,0.86
57.2,23.2,0.76
58.5,23.2,0.79
59.7,23.2,0.68
61.0,23.11,0.68
62.2,23.02,0.39
63.4,22.28,0.39
64.6,22.32,0.39
65.9,22.32,0.39
67.1,22.35,0.39
68.4,22.4,0.39
69.6,22.42,0.39
70.8,22.44,0.39
72.0,22.6,0.39
73.2,22.28,0.39
74.4,22.26,0.39
75.7,22.39,0.39
76.9,22.45,0.39
78.1,22.64,0.39
79.3,22.64,0.39
80.5,22.64,0.39
81.8,22.64,0.39
83.0,22.65,0.39
84.3,22.65,0.39
85.6,22.63,0.39
86.7,22.64,0.39
87.9,22.57,0.39
89.1,22.58,0.39
90.4,22.67,0.39
