# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,5.15,
1.0,4.76,
2.0,5.0,
3.0,5.03,
4.0,5.03,
5.0,5.07,
6.0,5.09,
7.0,5.15,
8.0,5.32,
9.0,5.15,
10.0,5.33,
11.0,5.21,
12.0,5.35,
13.0,5.4,
14.0,5.28,
15.0,5.29,
16.0,5.35,
17.0,5.45,
18.0,5.47,
19.0,5.48,
20.0,5.47,
21.0,5.47,
22.0,5.48,
23.0,5.44,
24.0,5.44,
25.0,5.26,
26.0,5.35,
27.0,5.37,
28.0,5.3,
29.0,5.37,
30.0,5.35,
31.0,5.26,
32.0,5.28,
33.0,5.13,
34.0,5.13,
35.0,5.12,
36.0,5.12,
37.0,5.12,
38.0,5.12,
39.1,5.12,
40.1,5.12,
41.1,5.12,
42.1,5.22,
