# cpu_count=4,total_ram_gb=16.0
t,cpu_cores,ram_gb,gpu_pct
0.1,1.14,4.36,
1.3,3.2,4.16,
2.4,3.28,4.39,
3.5,3.08,4.39,
4.6,1.44,4.41,
5.7,2.14,4.42,
6.8,3.0,4.45,
7.9,2.72,4.47,
9.0,3.59,4.53,
10.2,3.48,4.53,
11.3,3.52,4.45,
12.4,3.0,4.48,
13.5,2.9,4.53,
14.6,4.0,4.41,
15.8,3.72,4.42,
17.0,4.0,4.43,
18.1,3.86,4.43,
19.2,3.57,4.42,
20.3,3.72,4.43,
21.4,4.0,4.43,
22.5,3.83,4.42,
23.6,3.83,4.42,
24.8,4.0,4.37,
26.0,4.0,4.38,
27.2,3.59,4.36,
28.3,3.72,4.36,
29.4,3.5,4.36,
30.5,4.0,4.36,
31.6,4.0,4.36,
32.7,3.86,4.36,
33.9,4.0,4.44,
35.1,4.0,4.4,
36.3,3.86,4.39,
