# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.65,
1.0,4.43,
2.0,4.58,
3.0,4.58,
4.0,4.58,
5.0,4.58,
6.0,4.47,
7.0,4.5,
8.0,4.45,
9.0,4.55,
10.0,4.57,
11.0,4.59,
12.0,4.6,
13.0,4.62,
14.0,4.62,
15.0,4.62,
16.0,4.62,
17.0,4.62,
18.0,4.62,
19.0,4.62,
20.0,4.55,
21.0,4.55,
22.0,4.56,
23.0,4.56,
24.0,4.57,
25.0,4.57,
26.0,4.57,
27.0,4.57,
28.0,4.57,
29.0,4.57,
30.0,4.58,
31.0,4.57,
32.0,4.58,
33.0,4.58,
34.0,4.4,
35.0,4.4,
36.0,4.4,
37.0,4.4,
38.0,4.4,
39.0,4.4,
40.0,4.41,
41.0,4.41,
42.0,4.41,
43.0,4.42,
44.0,4.42,
45.0,4.42,
46.0,4.42,
47.0,4.43,
48.0,4.43,
49.0,4.43,
50.0,4.43,
51.0,4.46,
52.0,4.48,
53.0,4.51,
54.0,4.53,
55.0,4.51,
56.0,4.52,
57.0,4.52,
58.0,4.52,
59.0,4.52,
60.0,4.52,
61.0,4.52,
62.0,4.52,
63.0,4.53,
64.0,4.53,
65.0,4.53,
66.0,4.53,
67.0,4.53,
68.0,4.53,
69.0,4.54,
70.0,4.54,
71.0,4.54,
72.0,4.54,
73.0,4.54,
74.0,4.54,
75.0,4.54,
76.0,4.55,
77.0,4.55,
78.0,4.55,
79.0,4.55,
80.0,4.55,
81.0,4.55,
82.0,4.56,
83.0,4.56,
84.1,4.56,
85.1,4.56,
86.1,4.57,
87.1,4.56,
88.1,4.57,
89.1,4.57,
90.1,4.58,
91.1,4.58,
92.1,4.59,
93.1,4.6,
94.1,4.6,
95.1,4.61,
96.1,4.6,
97.1,4.61,
98.1,4.6,
99.1,4.6,
100.1,4.6,
101.1,4.6,
102.1,4.6,
103.1,4.6,
104.1,4.61,
105.1,4.6,
106.1,4.61,
107.1,4.61,
108.1,4.61,
109.1,4.61,
110.1,4.61,
111.1,4.6,
112.1,4.6,
113.1,4.61,
114.1,4.61,
115.1,4.6,
116.1,4.6,
117.1,4.61,
118.1,4.62,
119.1,4.65,
120.1,4.65,
121.1,4.62,
122.1,4.61,
123.1,4.62,
124.1,4.62,
125.1,4.63,
126.1,4.63,
127.1,4.62,
128.1,4.63,
129.1,4.63,
130.1,4.63,
131.1,4.63,
132.1,4.63,
133.1,4.64,
134.1,4.66,
135.1,4.74,
136.1,4.86,
137.1,4.75,
138.1,4.71,
139.1,4.71,
140.1,4.71,
141.1,4.71,
142.1,4.59,
143.1,4.46,
144.1,4.48,
145.1,4.49,
146.1,4.48,
147.1,4.5,
148.1,4.5,
149.1,4.49,
150.1,4.51,
151.1,4.5,
152.1,4.51,
153.1,4.5,
154.1,4.21,
155.1,4.3,
156.1,4.33,
157.1,4.27,
158.1,4.41,
159.1,4.41,
160.1,4.36,
161.1,4.36,
162.1,4.36,
163.1,4.36,
164.2,4.35,
165.2,4.35,
166.2,4.35,
167.2,4.33,
168.2,4.45,
