# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.43,
1.0,4.22,
2.0,4.43,
3.0,4.46,
4.0,4.51,
5.0,4.52,
6.0,4.56,
7.0,4.57,
8.0,4.62,
9.0,4.55,
10.0,4.59,
11.0,4.63,
12.0,4.65,
13.0,4.65,
14.0,4.65,
15.0,4.65,
16.0,4.65,
17.0,4.66,
18.0,4.65,
19.1,4.59,
20.1,4.59,
21.1,4.59,
22.1,4.51,
23.1,4.54,
24.1,4.6,
25.1,4.58,
26.1,4.52,
27.1,4.52,
28.1,4.49,
29.1,4.49,
30.1,4.48,
31.1,4.48,
32.2,4.48,
33.2,4.48,
34.2,4.48,
35.2,4.45,
36.2,4.45,
37.2,4.45,
38.2,4.52,
39.2,4.48,
40.2,4.5,
41.2,4.5,
